service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"Special#385","0","0","0","0","0","0","0","20250915","20251219"
"Special#386","0","0","0","0","0","0","0","20250907","20260228"
"Special#387","0","0","0","0","0","0","0","20250907","20260228"
"Special#388","0","0","0","0","0","0","0","20250907","20260228"
"Special#389","0","0","0","0","0","0","0","20250907","20260228"
"Special#390","0","0","0","0","0","0","0","20250915","20251231"
"Special#391","0","0","0","0","0","0","0","20250907","20260228"
"Special#392","0","0","0","0","0","0","0","20250913","20260228"
"Special#393","0","0","0","0","0","0","0","20250913","20260228"
"Special#394","0","0","0","0","0","0","0","20250908","20260220"
"Special#395","0","0","0","0","0","0","0","20250907","20260228"
"Special#396","0","0","0","0","0","0","0","20250907","20260222"
"Special#397","0","0","0","0","0","0","0","20250915","20260227"
"Special#398","0","0","0","0","0","0","0","20250915","20251219"
"Special#399","0","0","0","0","0","0","0","20260107","20260227"
"Special#400","0","0","0","0","0","0","0","20250908","20251031"
"Special#401","0","0","0","0","0","0","0","20250907","20260228"
"Special#402","0","0","0","0","0","0","0","20250907","20251214"
"Special#403","0","0","0","0","0","0","0","20251207","20251207"
"Special#404","0","0","0","0","0","0","0","20251228","20251228"
"Special#405","0","0","0","0","0","0","0","20251025","20251207"
"Special#406","0","0","0","0","0","0","0","20251025","20251025"
"Special#407","0","0","0","0","0","0","0","20250907","20251214"
"Special#408","0","0","0","0","0","0","0","20250907","20251219"
"Special#409","0","0","0","0","0","0","0","20250907","20260228"
"Special#410","0","0","0","0","0","0","0","20250907","20260228"
"Special#411","0","0","0","0","0","0","0","20250907","20251214"
"Special#412","0","0","0","0","0","0","0","20250907","20251214"
"Special#413","0","0","0","0","0","0","0","20260117","20260125"
"Special#414","0","0","0","0","0","0","0","20260118","20260125"
"Special#415","0","0","0","0","0","0","0","20260117","20260124"
"Special#416","0","0","0","0","0","0","0","20250928","20260125"
"Special#417","0","0","0","0","0","0","0","20251123","20260125"
"Special#418","0","0","0","0","0","0","0","20250908","20260228"
"Special#419","0","0","0","0","0","0","0","20250908","20260226"
"Special#420","0","0","0","0","0","0","0","20250912","20251219"
"Special#421","0","0","0","0","0","0","0","20250907","20260222"
"Special#422","0","0","0","0","0","0","0","20251123","20251123"
"Special#423","0","0","0","0","0","0","0","20250907","20251218"
"Special#424","0","0","0","0","0","0","0","20250908","20260228"
"Special#425","0","0","0","0","0","0","0","20250913","20260228"
"Special#426","0","0","0","0","0","0","0","20251122","20260125"
"Special#427","0","0","0","0","0","0","0","20250913","20260228"
"Special#428","0","0","0","0","0","0","0","20250908","20260227"
"Special#429","0","0","0","0","0","0","0","20250913","20260228"
"Special#430","0","0","0","0","0","0","0","20250908","20260228"
"Special#431","0","0","0","0","0","0","0","20250908","20260228"
"Special#432","0","0","0","0","0","0","0","20250908","20260228"
"Special#433","0","0","0","0","0","0","0","20250912","20260227"
"Special#434","0","0","0","0","0","0","0","20250912","20260228"
"Special#435","0","0","0","0","0","0","0","20250907","20260222"
"Special#436","0","0","0","0","0","0","0","20250907","20260226"
"Special#437","0","0","0","0","0","0","0","20251220","20260228"
"Special#438","0","0","0","0","0","0","0","20251221","20260226"
"Special#439","0","0","0","0","0","0","0","20250928","20251123"
"Special#440","0","0","0","0","0","0","0","20251220","20260228"
"Special#441","0","0","0","0","0","0","0","20250913","20251213"
"Special#442","0","0","0","0","0","0","0","20251220","20260228"
"Special#443","0","0","0","0","0","0","0","20251221","20260222"
"Special#444","0","0","0","0","0","0","0","20250907","20251214"
"Special#445","0","0","0","0","0","0","0","20250928","20260228"
"Special#446","0","0","0","0","0","0","0","20250908","20251219"
"Special#447","0","0","0","0","0","0","0","20250928","20260228"
"Special#448","0","0","0","0","0","0","0","20251122","20260228"
"Special#449","0","0","0","0","0","0","0","20251220","20260228"
"Special#450","0","0","0","0","0","0","0","20250928","20260228"
"Special#451","0","0","0","0","0","0","0","20251220","20260228"
"Special#452","0","0","0","0","0","0","0","20250913","20251213"
"Special#453","0","0","0","0","0","0","0","20250913","20251213"
"Special#454","0","0","0","0","0","0","0","20251221","20260222"
"Special#455","0","0","0","0","0","0","0","20250913","20260228"
"Special#456","0","0","0","0","0","0","0","20250908","20260228"
"Special#457","0","0","0","0","0","0","0","20250928","20251221"
"Special#458","0","0","0","0","0","0","0","20250907","20260222"
"Special#459","0","0","0","0","0","0","0","20250908","20260228"
"Special#460","0","0","0","0","0","0","0","20250912","20260228"
"Special#461","0","0","0","0","0","0","0","20250907","20260222"
"Special#462","0","0","0","0","0","0","0","20250907","20260226"
"Special#463","0","0","0","0","0","0","0","20251220","20260228"
"Special#464","0","0","0","0","0","0","0","20251220","20260228"
"Special#465","0","0","0","0","0","0","0","20251220","20260228"
"Special#466","0","0","0","0","0","0","0","20251225","20260222"
"Special#467","0","0","0","0","0","0","0","20251224","20260222"
"Special#468","0","0","0","0","0","0","0","20251222","20260226"
"Special#469","0","0","0","0","0","0","0","20251220","20260228"
"Special#470","0","0","0","0","0","0","0","20250912","20251219"
"Special#471","0","0","0","0","0","0","0","20250908","20251218"
"Special#472","0","0","0","0","0","0","0","20250913","20260228"
"Special#473","0","0","0","0","0","0","0","20250907","20260228"
"Special#474","0","0","0","0","0","0","0","20250913","20260228"
